source,lab_id,site_or_object,context,material,c14bp,sd,orig_ref,relevance
manning2022_S1A,OxA-12309,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1040-1050,3397,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12310,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1050-1060,3345,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12311,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1050-1060,3397,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12312,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1060-1070,3388,30,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12313,"Miletos, Turkey",LMIA below Thera tephra,Quercus sp. RY1060-1070 (waney edge RY1072),3352,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-1311,"Akrotiri, Thera",M2/1N002 LCI VDL,charcoal,3307,24,Manning 2022 ref 78,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-1529,"Akrotiri, Thera",M44A/26V LCI Advanced? VDL,charcoal,3281,25,Manning 2022 ref 78,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-1607,"Akrotiri, Thera",M26/43N047 LCI Advanced VDL,charcoal,3228,30,Manning 2022 ref 78,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-1624,"Akrotiri, Thera",14/1BN005 LCI Advanced VDL,wood,3360,25,Manning 2022 ref 78,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,DEM-1615,"Akrotiri, Thera",M2/53AN003 LCI Advanced?,charcoal,3389,25,Manning 2022 ref 78,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1552,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3390,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1555,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3245,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1548,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3335,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1549,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3460,80,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1550,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus sp.,3395,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1553,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3340,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1554,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus cly.,3280,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1556,"Akrotiri, Thera",VDL W. House Rm 5,Hordeum sp.,3415,70,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-7092-6795,"Akrotiri, Thera",VDL W. House Rm 5,peas,3360,60,Manning 2022 ref 77,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,K-5352,"Akrotiri, Thera",VDL W. House Rm 3,pulses,3310,65,Manning 2022 ref 76,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,K-3228,"Akrotiri, Thera",VDL W. House Rm 5,pulses,3340,55,Manning 2022 ref 76,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,K-4255,"Akrotiri, Thera","VDL House 3, delta 1",Tamarix twig 10 growth rings,3380,60,Manning 2022 ref 76,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-11817,"Akrotiri, Thera",VDL M2/76 N003,? Lathyrus sp.,3348,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-11818,"Akrotiri, Thera",VDL M7/68A N004,Hordeum sp.,3367,33,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-11820,"Akrotiri, Thera",VDL M10/23A N012,Hordeum sp.,3400,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-11869,"Akrotiri, Thera",VDL M31/43 N047,Hordeum sp.,3336,34,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12170,"Akrotiri, Thera",VDL M2/76 N003,? Lathyrus sp.,3336,28,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12171,"Akrotiri, Thera",VDL M7/68A N004,Hordeum sp.,3372,28,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12172,"Akrotiri, Thera",VDL M31/43 N047,Hordeum sp.,3321,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-12175,"Akrotiri, Thera",VDL M10/23A N012,Hordeum sp.,3318,28,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-2756,"Akrotiri, Thera",VDL M31/43 N047,Hordeum sp.,3317,28,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-2757,"Akrotiri, Thera",VDL M2/76 N003,? Lathyrus sp.,3315,31,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-2758,"Akrotiri, Thera",VDL M7/68A N004,Hordeum sp.,3339,28,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-2757repeat,"Akrotiri, Thera",VDL M2/76 N003,? Lathyrus sp.,3390,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-2758repeat,"Akrotiri, Thera",VDL M7/68A N004,Hordeum sp.,3322,32,Manning 2022 ref 64,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-25176,"Akrotiri, Thera",VDL W. House Rm 5,insect chitin,3368,29,Manning 2022 ref 79,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-23599-24426,Thera,Eruption pumice,Olive branch inner segment ‘rings’ 1-13,3383,11,Manning 2022 ref 80,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-23587,Thera,Eruption pumice,Olive branch next segment ‘rings’ 14-37,3372,12,Manning 2022 ref 80,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-23589,Thera,Eruption pumice,Olive branch next segment ‘rings’ 38-59,3349,12,Manning 2022 ref 80,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-23588-24402,Thera,Eruption pumice,Olive branch outer segment ‘rings’ 60-72,3331,10,Manning 2022 ref 80,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5614,Thera,Pumice/pre-eruption,Olive branch ABA,3282,21,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5614HS,Thera,Pumice/pre-eruption,Olive branch HS (extracted humic acids),3359,33,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5615,Thera,Pumice/pre-eruption,Olive branch ABA,3280,24,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5615HS,Thera,Pumice/pre-eruption,Olive branch HS,3321,24,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5620,Thera,Pumice/pre-eruption,Olive branch ABA,3277,25,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5620HS,Thera,Pumice/pre-eruption,Olive branch HS,3345,24,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5610,Thera,Pumice/pre-eruption,Olive branch ABA,3399,25,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5610HS,Thera,Pumice/pre-eruption,Olive branch HS,3342,26,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5083,Thera,Pumice/pre-eruption,Olive branch ABA,3270,36,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5083HS,Thera,Pumice/pre-eruption,Olive branch HS,3326,77,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5082,Thera,Pumice/pre-eruption,Olive branch ABA,3332,38,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5082HS,Thera,Pumice/pre-eruption,Olive branch HS,3369,36,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5084,Thera,Pumice/pre-eruption,Olive root ABA,3354,32,Manning 2022 ref 82,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,VERA-5084HS,Thera,Pumice/pre-eruption,Olive root HS,3368,34,Manning 2022 ref 81,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,K-3227,"Athinios Quarry, Thera",Under pumice,charcoal,3400,70,Manning 2022 ref 75,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,K-5353,"Akrotiri, Thera",VDL Bronos 1a hearth,pulses,3430,90,Manning 2022 ref 76,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-2794,"Akrotiri, Thera",VDL W. House Rm 5,Soil? from jar,3180,50,Manning 2022 ref 87,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1890,"Akrotiri, Thera",LMIA structure B Rm  5,Charcoal (pine),3340,60,Manning 2022 ref 86,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,L-362,Phira Quarry,Below pumice,Charred wood,3370,100,Manning 2022 ref 83,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1401,Phira Quarry,Below pumice,Carbonized tree,3420,40,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1697,Boudouroglou mine,Below pumice,Carbonized beans,3070,60,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1885,"Akrotiri, Thera",Structure D,Charred seeds (legumes?),3250,50,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1888,"Akrotiri, Thera",Structure D,"Charcoal, shrubs?",3130,50,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1889,"Akrotiri, Thera",Structure D,"Charcoal, shrubs?",3300,50,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1892,"Akrotiri, Thera",Bronos Bridge Area 6,"Charcoal, shrubs?",3330,50,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1894,"Akrotiri, Thera",Structure Delta Rm 3,"Charcoal, shrubs?",3310,70,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-1895,"Akrotiri, Thera",Structure Beta,"Charcoal, shrubs?",3320,50,Manning 2022 ref 85,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-2559,"Akrotiri, Thera",VDL W. House Rm 5,grains,3370,70,Manning 2022 ref 86,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-2565,"Akrotiri, Thera",VDL W. House Rm 5,grains,3310,60,Manning 2022 ref 86,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,P-2791,"Akrotiri, Thera",VDL W. House Rm 5,Seeds and charred material,3340,60,Manning 2022 ref 87,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-6058-5519,"Akrotiri, Thera",VDL Akrotiri 6,grains,3490,80,Manning 2022 ref 77,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,Hd-6059-7967,"Akrotiri, Thera",VDL Akrotiri 6,grains,3140,70,Manning 2022 ref 77,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,ETH-3315,"Akrotiri, Thera",VDL,seed,3610,51,Manning 2022 ref 88,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,ETH-3323,"Akrotiri, Thera",VDL,seed,3437,54,Manning 2022 ref 88,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,ETH-3324,"Akrotiri, Thera",VDL,seed,3453,52,Manning 2022 ref 88,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1558,"Akrotiri, Thera",VDL stages (i)/(ii),legumes,3400,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1551,"Akrotiri, Thera",VDL stages (i)/(ii),Hordeum sp.,3465,65,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1557,"Akrotiri, Thera",VDL stages (i)/(ii),legumes,3240,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1687,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus sp. ‘residue’ fraction,3280,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1689,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus sp. ‘residue’ fraction,3270,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1691,"Akrotiri, Thera",VDL W. House Rm 5,Lathyrus sp. ‘residue’ fraction,3320,60,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1A,OxA-1692,"Akrotiri, Thera",VDL W. House Rm 5,Legumes ‘residue’ fraction,3325,90,Manning 2022 ref 68,eruption-related (Manning dataset a/b/c/d pool)
manning2022_S1B,VERA-2678,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3724,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2680,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3722,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2681,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3739,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2679,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3761,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VRI-0395,"Kolonna, Aegina",Ceramic Phase E,charcoal,3670,90,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,HV-5841,"Kolonna, Aegina",Ceramic Phase E,charcoal,3625,65,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2682,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3712,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2683,"Kolonna, Aegina",Ceramic Phase E,Hordeum vulgare,3721,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,HV-5840,"Kolonna, Aegina",Ceramic Phase E,charcoal,3820,60,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4641,"Kolonna, Aegina",Ceramic Phase E,Bone Ovis/Capra,3759,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2688,"Kolonna, Aegina",Ceramic Phase E,Bone Ovis/Capra,3698,33,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2692,"Kolonna, Aegina",Ceramic Phase F,Bone (goat),3704,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4640,"Kolonna, Aegina",Ceramic Phase G,Bone Bos,3800,44,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4639,"Kolonna, Aegina",Ceramic Phase G,Bone Bos,3809,32,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4638,"Kolonna, Aegina",Ceramic Phase G,Bone Ovis/Capra,3646,32,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4281,"Kolonna, Aegina",Ceramic Phase G,Hordeum vulgare,3740,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4282,"Kolonna, Aegina",Ceramic Phase G,Hordeum vulgare,3711,34,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4283,"Kolonna, Aegina",Ceramic Phase G,Hordeum vulgare,3780,37,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4637,"Kolonna, Aegina",Ceramic Phase H,Bone Bos,3643,30,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4636,"Kolonna, Aegina",Ceramic Phase H,Bone Ovis/Capra,3628,30,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4280,"Kolonna, Aegina",Ceramic Phase H,Hordeum vulgare,3724,39,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4279,"Kolonna, Aegina",Ceramic Phase H,Hordeum vulgare,3718,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-2687,"Kolonna, Aegina",Ceramic Phase H,Bone Bos,3694,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4634,"Kolonna, Aegina",Ceramic Phase I,Bone Sus,3544,37,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4278,"Kolonna, Aegina",Ceramic Phase I,Cereal indeterminate,3522,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4038,"Kolonna, Aegina",Ceramic Phase I,Cereal indeterminate,3506,34,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4576,"Kolonna, Aegina",Ceramic Phase I,Bone Bos,3482,37,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4575,"Kolonna, Aegina",Ceramic Phase I,Bone Sus,3537,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4578,"Kolonna, Aegina",Ceramic Phase I,Bone Ovis/Capra,3501,39,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4579,"Kolonna, Aegina",Ceramic Phase I,Bone Ovis/Capra,3526,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4580,"Kolonna, Aegina",Ceramic Phase I,Bone Bos,3506,33,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4276,"Kolonna, Aegina",Ceramic Phase I,Cereal indeterminate,3506,37,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4275,"Kolonna, Aegina",Ceramic Phase I,Cereal indeterminate,3544,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4577,"Kolonna, Aegina",Ceramic Phase I,Bone Ovis/Capra,3458,39,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4571,"Kolonna, Aegina",Ceramic Phase J,Bone Ovis/Capra,3469,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4574,"Kolonna, Aegina",Ceramic Phase J,Bone Sus,3430,39,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4573,"Kolonna, Aegina",Ceramic Phase J,Bone Ovis/Capra,3485,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4572,"Kolonna, Aegina",Ceramic Phase J,Bone Ovis/Capra,3407,38,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4570,"Kolonna, Aegina",Ceramic Phase J,Bone Sus,3428,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4633,"Kolonna, Aegina",Ceramic Phase K,Bone Ovis/Capra,3333,29,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4632,"Kolonna, Aegina",Ceramic Phase K,Bone Ovis/Capra,3356,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4631,"Kolonna, Aegina",Ceramic Phase K,Bone Ovis/Capra,3349,36,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4630,"Kolonna, Aegina",Ceramic Phase L,Bone Ovis/Capra,3313,48,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4284,"Kolonna, Aegina",Ceramic Phase M,Hordeum vulgare,3044,35,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4582,"Kolonna, Aegina",Ceramic Phase M,Charred wood (twig),2986,33,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,VERA-4285,"Kolonna, Aegina",Ceramic Phase M,legumes,3040,37,Manning 2022 ref 89,Aegean sequence around the eruption
manning2022_S1B,OxA-11251,"Kommos, Crete",Early LMIA K85A/62D/9:92,Quercus sp.,3505,40,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,VERA-2636,"Kommos, Crete",Early LMIA K85A/62D/9:92,Quercus sp.,3445,25,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,OxA-11253,"Kommos, Crete",Early LMIA K85A/62D/8:83,Quercus sp.,3397,38,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,VERA-2638,"Kommos, Crete",Early LMIA K85A/62D/8:83,Quercus sp.,3600,19,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,OxA-11883,"Kommos, Crete",Early LMIA Space 25B Tr.66B,Likely Cupressaceae,3485,33,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,OxA-11944,"Kommos, Crete",Early LMIA Space 25B Tr.66B,Likely Cupressaceae,3435,25,"Manning 2022 ref 64,90",Aegean sequence around the eruption
manning2022_S1B,OxA-3429,"Kommos, Crete",Early LMIA Space 25B Tr.66B,Likely Cupressaceae,3350,70,"Manning 2022 ref 64,90",Aegean sequence around the eruption
