sense,author,work,form,corpus,source_id,note,context
military-shed,Julius Caesar,Civil War,musculi,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"Ubi ex ea turri quae circum essent opera tueri se posse sunt confisi, musculum pedes lx longum ex materia bipedali, quem a turri latericia ad hostium turrim murumque perducerent, facere instituerunt. cuius musculi haec erat forma. duae primum trabes in solo aeque longae distantes inter se pedes iiii collocantur inque eis columellae pedum in altitudinem v defiguntur. has inter se capreolis molli fastigio coniungunt, ubi ti"
military-shed,Julius Caesar,Civil War,musculi,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"t forma. duae primum trabes in solo aeque longae distantes inter se pedes iiii collocantur inque eis columellae pedum in altitudinem v defiguntur. has inter se capreolis molli fastigio coniungunt, ubi tigna quae musculi tegendi causa ponant collocentur. eo super tigna bipedalia iniciunt eaque aminis clavisque religant. lad extremum musculi tectum trabesque extremas quadratas regulas iiii patentis digitos defigunt, quae lateres,"
military-shed,Julius Caesar,Civil War,musculi,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"em v defiguntur. has inter se capreolis molli fastigio coniungunt, ubi tigna quae musculi tegendi causa ponant collocentur. eo super tigna bipedalia iniciunt eaque aminis clavisque religant. lad extremum musculi tectum trabesque extremas quadratas regulas iiii patentis digitos defigunt, quae lateres, qui super musculo struantur, contineant. ita fastigato atque ordinatim structo ut trabes erant in capreolis collocatae, l"
military-shed,Julius Caesar,Civil War,musculo,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"usa ponant collocentur. eo super tigna bipedalia iniciunt eaque aminis clavisque religant. lad extremum musculi tectum trabesque extremas quadratas regulas iiii patentis digitos defigunt, quae lateres, qui super musculo struantur, contineant. ita fastigato atque ordinatim structo ut trabes erant in capreolis collocatae, lateribus lutoque musculus, ut ab igni qui ex muro iaceretur tutus esset, contegitur. super lateres c"
military-shed,Julius Caesar,Civil War,musculus,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"extremas quadratas regulas iiii patentis digitos defigunt, quae lateres, qui super musculo struantur, contineant. ita fastigato atque ordinatim structo ut trabes erant in capreolis collocatae, lateribus lutoque musculus, ut ab igni qui ex muro iaceretur tutus esset, contegitur. super lateres coria inducuntur, ne canalibus aqua immissa lateres diluere posset. coria autem ne rursus igni ac lapidibus corrumpantur, centonibus conte"
military-shed,Julius Caesar,Civil War,musculum,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"ibus machinatione navali phalangis subiectis ad turrim hostium admovent, ut aedificio iungatur. Quo malo perterriti subito oppidani saxa, quam maxima possunt, vectibus promovent, praecipitataque muro in musculum devolvunt. ictum firmitas materiae sustinet, et quidquid incidit, fastigio musculi elabitur. id ubi vident, mutant consilium; cupas taeda ac pice refertas incendunt easque de muro in musculum devolvunt. involuta"
military-shed,Julius Caesar,Civil War,musculi,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"o iungatur. Quo malo perterriti subito oppidani saxa, quam maxima possunt, vectibus promovent, praecipitataque muro in musculum devolvunt. ictum firmitas materiae sustinet, et quidquid incidit, fastigio musculi elabitur. id ubi vident, mutant consilium; cupas taeda ac pice refertas incendunt easque de muro in musculum devolvunt. involutae labuntur, delapsae ab lateribus longuriis furcisque ab opere removentur."
military-shed,Julius Caesar,Civil War,musculum,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"cipitataque muro in musculum devolvunt. ictum firmitas materiae sustinet, et quidquid incidit, fastigio musculi elabitur. id ubi vident, mutant consilium; cupas taeda ac pice refertas incendunt easque de muro in musculum devolvunt. involutae labuntur, delapsae ab lateribus longuriis furcisque ab opere removentur. interim sub musculo milites vectibus infima saxa turris hostium, quibus fundamenta continebantur, convellunt. musculu"
military-shed,Julius Caesar,Civil War,musculo,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"id ubi vident, mutant consilium; cupas taeda ac pice refertas incendunt easque de muro in musculum devolvunt. involutae labuntur, delapsae ab lateribus longuriis furcisque ab opere removentur. interim sub musculo milites vectibus infima saxa turris hostium, quibus fundamenta continebantur, convellunt. musculus ex turri latericia a nostris telis tormentisque defenditur; hostes ex muro ac turribus submoventur; non datur libera mur"
military-shed,Julius Caesar,Civil War,musculus,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"usculum devolvunt. involutae labuntur, delapsae ab lateribus longuriis furcisque ab opere removentur. interim sub musculo milites vectibus infima saxa turris hostium, quibus fundamenta continebantur, convellunt. musculus ex turri latericia a nostris telis tormentisque defenditur; hostes ex muro ac turribus submoventur; non datur libera muri defendendi facultas. compluribus iam lapidibus ex illa quae suberat turri subductis repen"
military-shed,Julius Caesar,Civil War,musculum,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"ntina fortuna permoti arma quae possunt adripiunt, alii ex castris sese incitant. fit in hostis impetus eorum, sed de muro sagittis tormentisque fugientes persequi prohibentur. illi sub murum se recipiunt ibique musculum turrimque latericiam libere incendunt. ita multorum mensum labor hostium perfidia et vi tempestatis puncto temporis interiit. temptaverunt hoc idem Massilienses postero die. eandem nacti tempestatem maiore cum f"
military-shed,Julius Caesar,Civil War,musculosque,PERSEUS,phi0448/phi002/phi0448.phi002.perseus-lat2.xml,,"urratur; longinquam oppugnationem sustinere non posse. Scipio discessu exercituum ab Dyrrachio cognito Larisam legiones adduxerat; Pompeius nondum Thessaliae adpropinquabat. Caesar castris munitis scalas musculosque ad repentinam oppugnationem fieri et crates parari iussit. quibus rebus effectis cohortatus milites docuit, quantum usum haberet ad sublevandam omnium rerum inopiam potiri oppido pleno atque opulento, simul reli"
military-shed,LL:isidore__18,,Musculus,LL,isidore__18.shtml,,"um demissus quo aries percutit; laxo enim saccorum sinu ictus arietis inlisus mollitur. Duriora enim mollioribus facilius cedunt. [3] Plutei sunt crates corio crudo intextae, quae in opere faciendo hosti obiciuntur. [4] Musculus cuniculo similis fit, quo murus perfoditur; ex quo et appellatus, quasi murusculus. XII. DE CLYPEIS. [1] Clipeus est scutus maior, dictus ab eo quod clipet, id est celet, corpus periculisque subducat, APO TOU KLEPTEIN."
military-shed,LL:vegetius2,,musculos,LL,vegetius2.html,,"quibus terra portetur. Habet quoque dolabras secures ascias serras, quibus materies ac pali dedolantur atque serrantur. Habet praeterea artifices cum omnibus ferramentis, qui ad obpugnandas hostium ciuitates testudines musculos arietes uineas, ut appellant, turres etiam ambulatorias faciunt. Verum ne singula enumerando plura dicantur, uniuersa, quae in quocumque belli genere necessaria esse creduntur, secum legio debet ubique portare, ut, in q"
military-shed,LL:vegetius4,,musculis,LL,vegetius4.html,,"XI. Si sales defuerint. XII. Quid faciendum, cum primo impetu uenitur ad muros. XIII. Enumeratio machinarum, quibus muri obpugnantur. XIIII. De ariete falce testudine. XV. De uineis, de pluteis, de aggere. XVI. De musculis. XVII. De turribus ambulatoriis. XVIII. Quemadmodum ambulatoria turris possit incendi. XVIIII. Quemadmodum altitudo muris addatur. XX. Quo pacto suffodiatur terra, ut machina nocere nihil possit. XXI. De scalis sam"
military-shed,LL:vegetius4,,musculi,LL,vegetius4.html,,"Quod si a fidentibus siue militaribus uiris repellatur prima congressio, statim clausis crescit audacia, et iam non terrore, sed uiribus et arte confligitur. XIII. Admouentur enim testudines arietes falces uineae plutei musculi turres; de quibus singulis, qualiter fabricentur, quo etiam pacto proelientur uel repellantur, edisseram. XIIII. De materia ac tabulatis testudo contexitur, quae, ne exuratur incendio, coriis uel ciliciis centonibusque"
military-shed,LL:vegetius4,,Musculos,LL,vegetius4.html,,"s siue fundis uel missibilibus defensores omnes de propugnaculis ciuitatis exturbant, ut scalis ascendendi facilior praestetur occasio. Agger autem ex terra lignisque extollitur contra murum, de quo tela iactantur. XVI. Musculos dicunt minores machinas, quibus protecti bellatores sudatum auferunt ciuitatis; fossatum etiam adportatis lapidibus lignis ac terra non solum conplent sed etiam solidant, ut turres ambulatoriae sine inpedimento iungantu"
military-shed,LL:vegetius4,,musculi,LL,vegetius4.html,,"llatores sudatum auferunt ciuitatis; fossatum etiam adportatis lapidibus lignis ac terra non solum conplent sed etiam solidant, ut turres ambulatoriae sine inpedimento iungantur ad murum. Vocantur autem a marinis beluis musculi; nam quemadmodum illi, cum minores sint, tamen ballenis auxilium adminiculumque iugiter exhibent, ita istae machinae breuiores (uel) deputatae turribus magnis aduentui illarum parant uiam itineraque praemuniunt. XVII. T"
military-shed,Pseudo-Caesar,De Bello Alexandrino,musculis,PERSEUS,phi0428/phi001/phi0428.phi001.perseus-lat1.xml,,"ege Nabataeorum Malcho evocat; tormenta undique conquiri et frumentum mitti, auxilia adduci iubet. Interim munitiones cotidie operibus augentur atque omnes oppidi partes, quae minus esse firmae videntur, testudinibus ac musculis aptantur; ex aedificiis autem per foramina in proxima aedificia arietes immittuntur, quantumque aut ruinis deicitur aut per vim recipitur loci, in tantum munitiones proferuntur. Nam incendio fere tuta est Alexandrea, qu"
mouse,"Celsus, Aulus Cornelius",De Medicina,musculorum,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"super eas transversa: dein duabus super aures, una inter eas item transversa: tribus inter verticem et frontem rectis. Reperti sunt, qui a vertice rectas eas lineas ad tempora deducerent; cognitisque ex motu maxillarum musculorum initiis, leviter super eos cutem inciderent, diductisque per retusos hamos oris, insererent linamenta, ut neque inter se cutis antiqui fines committerentur, et in medio caro incresceret, quae venas, ex quibus humor ad o"
mouse,"Cicero, Marcus Tullius",De Republica,musculos,PERSEUS,phi0474/phi043/phi0474.phi043.perseus-lat2.xml,,"etur, iustitia an sapientia est e minimo omnium maximus factus? praeter Arcadas et Atheniensis, qui, credo, timentes hoc interdictum iustitiae ne quando existeret, commenti sunt se de terra tamquam hos ex arvis musculos extitisse. Ad haec illa dici solent primum ab iis, qui minime sunt in disserendo mali, qui in ea causa eo plus auctoritatis habent, quia, cum de viro bono quaeritur, quem apertum et simplicem volumus es"
mouse,LL:fronto,,musculus,LL,fronto.html,Fronto: a 'mouse' who might nose out the letter.,"collo furtim carpsisse coronas, postquam est inpransi correptus voce magistri.” 6 Versus quos mihi miseras remisi tibi per Victorinum nostrum atque ita remisi: Chartam diligenter lino transui et ita linum obsignavi, ne musculus iste aliquid aliqua rimari possit. Nam mihi ipse de tuis hexametris numquam quicquam impertivit, ita est malus ac malitiosus. Sed ait te de industria cito et cursim hexametros tuos recitare: Eo se memoriae mandare non p"
mouse,LL:solinus3,,musculis,LL,solinus3.html,,"us quam semel gignunt, nec plures quam singulos. Vivunt annos trecentos. Impatientissimi frigoris. Truncos edunt, lapides hauriunt, gratissimas in cibatu habent palmas. Odorem muris vel maxime fugiunt: pabula etiam, quæ musculis contacta sunt, recusant. Si quis casu chamæleontem devoraverit, vermem elephantis veneficum, oleastro sumpto pesti medetur. Durissimum dorso tergus est, ventri mollius. Setarum hirsutia nullæ. Inter hos et dracones jugi"
mouse,LL:solinus3a,,musculis,LL,solinus3a.html,,"am semel gignunt, nec plures quam singulos. vivunt in annos trecentos. inpatientissimi frigoris. truncos edunt, lapides hauriunt, gratissimas in cibatu habent palmas. odorem muris vel maxime fugiunt: pabula etiam quae a musculis contacta sint recusant. si quis casu chamaeleontem devoraverit, vermem elephantis veneficum, oleastro sumpto pesti medetur. durissimum dorso tergus est, ventri mollius. setarum hirsutiae nullae. inter hos et dracones iu"
mouse,LL:solinus5,,musculis,LL,solinus5.html,,"semel gignunt, nec plures quam singulos. 9 Viuunt in annos trecentos. Inpatientissimi frigoris. Truncos edunt, lapides hauriunt, gratissimas in cibatu habent palmas. Odorem muris uel maxime fugiunt; pabula etiam quae a musculis contacta sint recusant. 10 Si quis casu chamaeleontem deuorauerit, uermem elephantis ueneficum, oleastro sumpto pesti medetur. Durissimum dorso tergus est, uentri mollius. Setarum hirsutiae nullae. Inter hos et dracones"
mouse,"Pliny, the Elder",Naturalis Historia,musculi,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,,"scilicet quam reliquam cum singulis hominum societatem . siquidem et pericula praemonent non fibris modo extisque, circa quod magna mortalium portio haeret, sed alia quadam significatione. ruinis inminentibus musculi praemigrant , aranei cum telis primi cadunt. auguria quidem artem fecere apud Romanos et sacerdotum collegium vel maxime sollemne. est inter ea locis rigentibus et volpes, animal alioqui sollertia dirum. amnes gelatos"
mouse,"Pliny, the Elder",Naturalis Historia,musculorum,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,"Plin. NH 27.104: myosotis, 'mouse-ear' plant.","VI, eximi a purgatione quibus datur e gallinaceo iu re . — Alsine , quam quidam myosoton appellant, nascitur in lucis, unde et alsine dicta est. incipit a media hieme , arescit aestate media. cum prorepit, musculorum aures imitatur foliis. sed aliam docebimus esse quae iustius myosotis vocetur. haec eadem erat quae hel x ine , nisi minor minusque hirsuta esset. nascitur in hortis et maxime parietibus . cum teritur, odorem cucumeri"
mouse,"Pliny, the Elder",Naturalis Historia,musculis,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,,"n ventrali habitum. somnos adlicit olfactum aut inscio sub capite positum. vestibus insertum tineas arcet. culices ex oleo perunctis abigit et fumo, si uratur. atramentum librarium ex diluto eius temperatum litteras a musculis tuetur. capillum denigrat absinthii cinis unguento rosaceoque permixtus. — Est et absinthium marinum , quod quidam seriphum vocant, probatissimum in Taposiri Aegypti. huius ramum Isiaci praeferre sollemne"
mouse-aquatic,LL:pliny.nh2,,musculi,LL,pliny.nh2.html,Plin. NH 2.227: water-mice in a spring; TLL puts this under mus aquatilis.,"erbae virentes innascuntur, Pisanorum ranae, ad Vetulonios in Etruria non procul a mari pisces. in Casinate fluvius appellatur Scatebra, frigidus, abundantior aestate; in eo, ut in Arcadia Stymphali, nascuntur aquatiles musculi. [228] in Dodone Iovis fons, cum sit gelidus et inmersas faces extinguat, si extinctae admoveantur, accendit. idem meridie semper deficit, qua de causa anapauomenon vocant, mox increscens ad medium noctis exuberat, ab"
mouse-aquatic,"Pliny, the Elder",Naturalis Historia,musculi,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,Plin. NH 2.227: water-mice in a spring; TLL puts this under mus aquatilis.,"bae virentes innascuntur, Pisanorum ranae, ad Vetulonios in Etruria non procul a mari pisces. in Casinate fluvius appellatur Scatebra , frigidus , abundantior aestate; in eo, ut in Arcadia Stymphali, nascuntur aquatiles musculi. in Dodone Iovis fons, cum sit gelidus et inmersas faces extinguat, si extinctae admoveantur , accendit. idem meridie semper deficit, qua de causa ἀναπαυόμενον vocant, mox increscens ad medium noctis exuberat, a"
mouse-aquatic,"Pliny, the Elder",Naturalis Historia,musculi,PERSEUS,phi0978/phi001/phi0978.phi001.perseus-lat2.xml,Plin. NH 9.179: mice half-formed from Nile mud.,"m facit vitam , subterranei animalis , nisi forte vermium terrenorum et his piscibus natura inest. Verum omnibus his fidem Nili inundatio adfert omnia excedente miraculo . quippe detegente eo musculi reperiuntur inchoato opere genitalis aquae terraeque, iam parte corporis viventes, novissima effigie etiamn um terrena. Nec de anthia pisce sileri convenit quae pierosque adverto credidisse."
muscle,Apuleius,Metamorphoses,musculos,PERSEUS,phi1212/phi002/phi1212.phi002.perseus-lat1.xml,Celsus surgical context; anatomical by default in this work.,"trorepens mustela contra me constitit obtutumque acerrimum in me destituit, ut tantillula animalis prae nimia sui fiducia mihi turbarit animum: denique sic ad illam Quin abis inquam Impurata bestia, teque ad tui similes musculos recondis, antequam nostri vim praesentariam experiaris? Quin abis? Terga vortit et cubiculo protinus exterminatur: nec mora, cum me somnus profundus in imum barathrum repente demergit, ut ne deus quidem Delphicus ipse f"
muscle,Apuleius,Metamorphoses,musculos,PERSEUS,phi1212/phi002/phi1212.phi002.perseus-lat1.xml,Apuleius Met. 8.27: the Syrian priests bite their own muscles.,"ab ingressu primo statim absonis ululatibus constrepentes fanatice pervolant, diuque capite demisso cervices lubricis intorquentes motibus crinesque pendulos in circulum rotantes, et nonnunquam morsibus suos incursantes musculos, ad postremum ancipiti ferro quod gerebant sua quisque brachia dissicant. Inter haec unus ex illis bacchatur effusius ac de imis praecordiis anhelitus crebros referens, velut numinis divino spiritu repletus, simulabat s"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculosum,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"evis sit: eaque descendens ad praecordia cum pulmone committitur. Is spongiosus, ideoque spiritus capax, et a tergo spinae ipsi junctus, in duas fibras ungulae bubulae modo dividitur. Huic cor annexum est, natura musculosum, in pectore sub sinisteriore sinistriore mamma situm; duosque quasi ventriculos habet. At sub corde atque pulmone transversum ex valida membrana septum est, quod a praecordiis uterum (id est diducit; idque nervosum, m"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculosus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"inis scissilis modice cocti, singulorum p. )-(. I. aeris combusti, capitulorum mali punici, singulorum p. )-(. III. Hunc oportet diluere aceto, ac sic, ubi vulnus glutinandum est, illinire inlinere . At, si nervosus aut musculosus is locus est, commodius est, cerato miscere, sic, ut illius octo partes, nona hujus sit. Alius ad idem constat ex his: bituminis, aluminis scissilis, singulcrum singulorum p. )-(. I. aeris combusti p. )-(. IV. s"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculum,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"ue poplitibus, sed etiam in iis venis quae ad anum testiculosque perveniunt. Praeter haec malum vulnus est, quodcumque in alis, vel feminibus, vel inanibus locis, vel in articulis, vel inter digitos est: item quodcumque musculum, aut nervum, aut arteriam, aut membranam, aut os, aut cartilaginem laesit . Tutissimum omnium, quod in carne est. Et haec quidem loco vel pejora, vel meliora sunt. Modo vero periculum facit quodcumque magnum est."
muscle,"Celsus, Aulus Cornelius",De Medicina,musculus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"tercidendaeque sunt , ut et in se ipsae coeant, et nihilo minus ora praeclusa habeant. Ubi ne id quidem res patitur, possunt ferro candenti aduri. Sed etiam satis multo sanguine effuso ex eo loco quo neque nervus, neque musculus est, ut, puta, in fronte, vel superiore capitis parte, commodissimum tamen est cucurbitulam admovere a diversa parte, ut illuc sanguinis cursus revocetur. Et adversus profusionem quidem in his auxilium est: adve"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"lluc sanguinis cursus revocetur. Et adversus profusionem quidem in his auxilium est: adversus inflammationem autem in ipso sanguinis cursu. Ea timeri potest, ubi laesum est vel os, vel nervus, vel cartilago, vel musculus; aut ubi parum sanguinis pro modo vulneris fluxit. Ergo quoties quid tale erit, sanguinem mature supprimere non oportebit; sed pati fluere, dum tutum erit, adeo ut si parum fluxisse videbitur, mitti quoque ex brachio de"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"; sed pati fluere, dum tutum erit, adeo ut si parum fluxisse videbitur, mitti quoque ex brachio debeat; utique si corpus juvenile et robustum et exercitatum est: multoque magis, si id vulnus ebrietas praecessit. Quod si musculus laesus videbitur, praecidendus erit: nam percussus, mortiferus est; praecisus, sanitatem recipit. Sanguine autem vel suppresso, si nimius erumpit; vel exhausto, si per se parum fluxit; longe optimum es"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"nervis idoneum est: eminentibusque partibus ea quam Graeci ῤάπτουσαν vocant . Solet etiam, colliso corpore, exigua parte findi cutis. Quod ubi incidit, non alienum est scalpello latius aperire; nisi musculi, nervique juxta sunt, quos incidi non expedit: ubi satis diductum est, medicamentum imponendum est. At si id quod collisum est, quamvis parum diductum est, latius tamen aperiri propter nervos aut musculos non licet, adh"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculos,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"s aperire; nisi musculi, nervique juxta sunt, quos incidi non expedit: ubi satis diductum est, medicamentum imponendum est. At si id quod collisum est, quamvis parum diductum est, latius tamen aperiri propter nervos aut musculos non licet, adhibenda sunt ea quae humorem leniter extrahant; praecipueque ex his id, quod ῤυπῶδεσ vocari proposui . Non alienum est etiam, ubicumque vulnus grave est, imposito quo id juvetur, insuper circumdare lanam su"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculosus,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"proposui . Non alienum est etiam, ubicumque vulnus grave est, imposito quo id juvetur, insuper circumdare lanam succidam ex aceto et oleo: vel cataplasma, si mollis is locus est, quod leniter reprimat; si nervosus, aut musculosus, quod emolliat. Fascia vero ad vulnus deligandum lintea aptissima est; eaque lata esse debet, ut semel injecta non vulnus tantum, sed paulum utrimque etiam oras ejus comprehendat. Si ab altera parte ca"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculive,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"rum, cibi boni succi, vitatis omnibus acribus; sed jam pleniores. Nam et avis, et venatio, et suilla elixa dari potest. Vinum omnibus, dum febris, dum inflammatio est, alienum est: itemque usque ad cicatricem, si nervi, musculive vulnerati sunt; etiam si alte caro. At si plaga in summa cute generis tutioris est, potest non pervetus, modice tamen datum, ad implendum quoque proficere. Si quid molliendum est, quod in nervosis locis, muscul"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculosisque,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"culive vulnerati sunt; etiam si alte caro. At si plaga in summa cute generis tutioris est, potest non pervetus, modice tamen datum, ad implendum quoque proficere. Si quid molliendum est, quod in nervosis locis, musculosisque necessarium est, cerato quoque super vulnus utendum est. At si caro supercrevit, modice reprimit siccum linamentum; vehementius squama aeris. Si plus est, quod tolli opus est, adhibenda sunt etiamnum vehementiora, quae"
muscle,"Celsus, Aulus Cornelius",De Medicina,musculi,PERSEUS,phi0836/phi002/phi0836.phi002.perseus-lat5.xml,,"us purulenta curantur; eodemque modo ad sanitatem perducendum est. Gangraenam vero, si nondum plane tenet, sed adhuc incipit, curare non difficillimum est; utique in corpore juvenili: et magis etiam si musculi integri sunt; si nervi vel laesi non sunt, vel leviter affecti sunt; neque ullus magnus articulus nudatus est; aut carnis in eo loco paulum est, ideoque non multum, quod putresceret, fuit; consistitque eo loco vitium,"
